Palette: 16
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 1
overseersMin: 4
overseersMax: 8
earlyCycleChance: 0.02
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.01
Subregion: Mudslide
Room_Attr: UW_A14: CicadaA-Forbidden,CicadaB-Forbidden,Overseer-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: UW_A12: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: UW_F01: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CicadaA-Stay,CicadaB-Stay,Overseer-Like,KingVulture-Avoid,MirosVulture-Forbidden,
Room_Attr: UW_A13: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Scavenger-Avoid,Overseer-Like,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: UW_S03: MirosVulture-Forbidden,
Room_Attr: UW_E01: CicadaA-Avoid,CicadaB-Avoid,Overseer-Stay,MirosVulture-Forbidden,
Room_Attr: UW_A02: CicadaA-Avoid,CicadaB-Avoid,Overseer-Stay,MirosVulture-Forbidden,
Room_Attr: UW_J01: YellowLizard-Stay,CyanLizard-Stay,CicadaA-Avoid,CicadaB-Avoid,Overseer-Like,MirosVulture-Forbidden,
Room_Attr: UW_A01: CicadaA-Avoid,CicadaB-Avoid,Overseer-Stay,MirosVulture-Forbidden,
Room_Attr: UW_D01: CicadaA-Forbidden,CicadaB-Forbidden,Overseer-Stay,MirosVulture-Forbidden,
Room_Attr: UW_D07: Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,Overseer-Like,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_S04: MirosVulture-Forbidden,
Room_Attr: UW_C05: Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_D06: Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_S01: MirosVulture-Forbidden,
Room_Attr: UW_C04: Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_D05: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_A04: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_C02: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_A05: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_C01: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_A03: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Vulture-Forbidden,DaddyLongLegs-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_J02: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_I01: YellowLizard-Stay,CyanLizard-Like,Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_S02: Overseer-Avoid,MirosVulture-Forbidden,
Room_Attr: UW_A10: CyanLizard-Avoid,Vulture-Forbidden,DaddyLongLegs-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_A11: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_A06: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_E04: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: UW_A08: CyanLizard-Avoid,Vulture-Forbidden,DaddyLongLegs-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_C03: Vulture-Forbidden,DaddyLongLegs-Forbidden,Scavenger-Forbidden,Overseer-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_D04: Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_B01: CyanLizard-Avoid,Vulture-Forbidden,DaddyLongLegs-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_PREGATE: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_S07: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_D03: CyanLizard-Like,Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Stay,ScavengerElite-Forbidden,
Room_Attr: UW_A09: CyanLizard-Avoid,Vulture-Forbidden,DaddyLongLegs-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_S06: MirosVulture-Forbidden,
Room_Attr: UW_E03: CyanLizard-Avoid,Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Like,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_E02: Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Stay,ScavengerElite-Forbidden,
Room_Attr: UW_A07: CyanLizard-Avoid,Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_C06: CyanLizard-Avoid,Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_D02: CyanLizard-Avoid,Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Like,DropBug-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_S05: MirosVulture-Forbidden,
Room_Attr: UW_D05RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_A04RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_C02RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_A05RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_C01RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_A06RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_E04RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_A11RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_J02RIV: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
